filename,title,release_year,genres
35032.jpg,The Pirate,1948,"[10402, 10749, 35, 12]"
29244.jpg,3 Godfathers,1948,[37]
20638.jpg,Yellow Sky,1948,[37]
128854.jpg,Hills of Home,1948,"[10751, 12, 28, 18]"
1580.jpg,Rope,1948,"[53, 80, 18]"
43456.jpg,The Miracle of the Bells,1948,[18]
266826.jpg,Portrait from Life,1948,"[18, 9648, 53, 10749]"
111960.jpg,Miranda,1948,"[35, 14, 10749]"
5156.jpg,Bicycle Thieves,1948,[18]
123661.jpg,Elizabeth of Ladymead,1948,"[18, 10752]"
29966.jpg,Blood on the Moon,1948,"[37, 10749]"
1511367.jpg,Ram Baan,1948,[36]
1509514.jpg,Colour Flicker,1948,[16]
1506147.jpg,The sad countryside,1948,[]
1478204.jpg,Confused life,1948,[18]
1471178.jpg,The Story of Life,1948,"[99, 18]"
1463573.jpg,About Sensations,1948,[]
1461420.jpg,Play Safe,1948,[99]
1435522.jpg,“The Red Shoes” Sketches,1948,[]
1427582.jpg,Negro Ballet,1948,[]
1420120.jpg,Lezioni di Geometria,1948,[99]
1404872.jpg,Lafcadio,1948,[18]
1404338.jpg,A Place to Hang Your Hat,1948,[99]
1395090.jpg,Music's Twenty Doors,1948,[18]
1389341.jpg,The Killer,1948,[]
1389336.jpg,Towards glory,1948,[]
1384018.jpg,The postman,1948,[]
1384013.jpg,Samson the mighty,1948,[]
1383106.jpg,Love never dies,1948,[18]
1381047.jpg,Above the clouds,1948,[]
1377556.jpg,The Dead Beauty Incident,1948,"[80, 53]"
1376725.jpg,Priyatama,1948,[18]
1374861.jpg,Laila Al Amriya,1948,[]
15.jpg,Citizen Kane,1941,"[9648, 18]"
16442.jpg,Sergeant York,1941,"[10752, 18]"
43266.jpg,How Green Was My Valley,1941,[18]
11462.jpg,Suspicion,1941,"[9648, 10749, 53]"
29884.jpg,Ball of Fire,1941,"[35, 10749, 80]"
130866.jpg,Smilin' Through,1941,"[10402, 14, 10749]"
14590.jpg,Shadow of the Thin Man,1941,"[35, 80, 9648]"
32574.jpg,Meet John Doe,1941,"[35, 18]"
20644.jpg,Love Crazy,1941,"[35, 10749]"
27622.jpg,A Woman's Face,1941,"[18, 53]"
963.jpg,The Maltese Falcon,1941,"[9648, 80, 53]"
19136.jpg,Hellzapoppin',1941,"[10402, 35]"
86604.jpg,"Tom, Dick and Harry",1941,"[35, 10749]"
11360.jpg,Dumbo,1941,"[16, 10751]"
24197.jpg,Mr. & Mrs. Smith,1941,"[35, 10749]"
43800.jpg,The Corsican Brothers,1941,"[12, 18]"
16305.jpg,Sullivan's Travels,1941,"[35, 10749, 12]"
43705.jpg,The Great Lie,1941,[18]
442778.jpg,The Way of All Pests,1941,"[16, 35]"
90034.jpg,The Tale of the Fox,1941,"[16, 35, 14]"
1515156.jpg,Swami,1941,[]
1511764.jpg,Pardesi,1941,[]
1511744.jpg,Shadi,1941,[]
1510227.jpg,Nai Roshni,1941,[]
1508630.jpg,Taj Mahal,1941,"[36, 10749]"
1508601.jpg,Anjan,1941,[]
1507678.jpg,Lagan,1941,"[18, 10749]"
1505376.jpg,The Lost Sheep,1941,[]
1496374.jpg,Resurrection Incense,1941,[18]
1455309.jpg,Outpost,1941,"[36, 18]"
1447638.jpg,Modern Design,1941,"[10402, 35]"
1417805.jpg,Sant Sakhu,1941,[18]
1416177.jpg,Blood For Blood,1941,[]
1384086.jpg,Juan de la calle,1941,[18]
1383725.jpg,My Wife's Family,1941,[35]
1382415.jpg,Friendship,1941,"[18, 10749, 35]"
27191.jpg,The Greatest Show on Earth,1952,"[18, 10749]"
159187.jpg,Baiju Bawra,1952,"[10402, 18, 10749]"
26175.jpg,Ivanhoe,1952,"[12, 10749, 36]"
488.jpg,The African Queen,1952,"[10749, 12, 18]"
288.jpg,High Noon,1952,"[37, 18]"
872.jpg,Singin' in the Rain,1952,"[35, 10749]"
33454.jpg,Scaramouche,1952,"[12, 10749]"
28431.jpg,The Prisoner of Zenda,1952,[12]
46192.jpg,The Wild North,1952,"[12, 10749, 37]"
3109.jpg,The Quiet Man,1952,"[10749, 35, 18]"
32499.jpg,The Bad and the Beautiful,1952,"[18, 10749]"
38732.jpg,Bend of the River,1952,"[37, 12]"
208974.jpg,"Retreat, Hell!",1952,"[18, 10752]"
24008.jpg,Monkey Business,1952,"[35, 878]"
43366.jpg,The Belle of New York,1952,"[10402, 10749, 35]"
205463.jpg,One Minute to Zero,1952,"[10752, 18, 10749]"
99691.jpg,The Devil Makes Three,1952,"[80, 10749, 53]"
28971.jpg,Limelight,1952,"[10749, 18, 10402]"
80596.jpg,The Magic Box,1952,[18]
921557.jpg,Edi İle Büdü Tiyatrocu,1952,[35]
833.jpg,Umberto D.,1952,[18]
3782.jpg,Ikiru,1952,[18]
5000.jpg,Forbidden Games,1952,"[18, 10752]"
207300.jpg,Caribbean,1952,[12]
1495095.jpg,Çakırcalı Mehmet Efe'nin Definesi,1952,[]
1487887.jpg,The Pigeon,1952,[18]
1487871.jpg,Four Asakusa Sisters,1952,[18]
1483711.jpg,Le grand numero,1952,[]
1482610.jpg,Sugamo's Mothers,1952,"[10752, 18]"
1464650.jpg,جنة و نار,1952,"[18, 10402]"
1455488.jpg,Asu wa Nichiyōbi,1952,"[35, 18]"
1452204.jpg,Pakhta-Oy,1952,"[10751, 14]"
1446465.jpg,Mr. Lincoln,1952,"[36, 18]"
1442569.jpg,Les Plongeurs Du Désert,1952,[99]
1426806.jpg,USSR Air Fleet Day,1952,[99]
1426093.jpg,Songfest! The 3 Young Musketeers!,1952,[]
1424356.jpg,L’invidia,1952,[18]
1413895.jpg,Assorted Scenes/Kaleidoscope,1952,[]
15947.jpg,The Three Caballeros,1944,"[16, 10751, 10402]"
96366.jpg,Days of Glory,1944,"[10752, 10749, 18]"
17661.jpg,Going My Way,1944,"[18, 35, 10402]"
909.jpg,Meet Me in St. Louis,1944,"[35, 18, 10749, 10751]"
43546.jpg,Bathing Beauty,1944,"[10402, 35, 10749]"
123665.jpg,Dragon Seed,1944,[18]
85574.jpg,The Seventh Cross,1944,"[18, 53, 10752]"
14594.jpg,The Thin Man Goes Home,1944,"[35, 9648]"
996.jpg,Double Indemnity,1944,"[80, 53]"
120747.jpg,The Adventures of Mark Twain,1944,"[12, 18]"
84084.jpg,Wilson,1944,[18]
27628.jpg,Follow the Boys,1944,"[10402, 35, 10752]"
1939.jpg,Laura,1944,"[18, 9648]"
43501.jpg,Kismet,1944,"[12, 14, 10749]"
28425.jpg,The Invisible Man's Revenge,1944,"[27, 878]"
13321.jpg,Lifeboat,1944,"[10752, 18]"
1105175.jpg,Who's Done it ?,1944,"[80, 18]"
226766.jpg,Bride by Mistake,1944,[35]
1510809.jpg,Parakh,1944,[18]
1510788.jpg,Shahenshah Babar,1944,[36]
1510774.jpg,Chal Chal Re Naujawan,1944,[18]
1507188.jpg,Raunaq,1944,[]
1506636.jpg,Mumtaz Mahal,1944,"[36, 18, 10749]"
1503768.jpg,The Immortal Blacksmith,1944,[18]
1485047.jpg,Radio Operator Training: The Radioman Fights,1944,[99]
1475663.jpg,Seaforth Cummings,1944,[16]
1463719.jpg,Stunt King,1944,[]
1452274.jpg,The Rug,1944,[16]
1452269.jpg,Cost of Living Index,1944,[16]
1426947.jpg,Caucasus,1944,"[99, 36, 10752]"
1426938.jpg,Liberation of Vilnius,1944,[99]
1426889.jpg,Victory in the South,1944,[99]
1411892.jpg,People of the Potlatch,1944,[99]
1391171.jpg,Doce lunas de miel,1944,[]
1386190.jpg,Pratikar,1944,[18]
1379908.jpg,The Mysterious Old Man,1944,[16]
1378211.jpg,That Boy Joe,1944,[]
1371084.jpg,Kaksi kivaa kaveria,1944,"[35, 10402]"
1368744.jpg,The More We Get Together No. 2,1944,[16]
1365696.jpg,D-Day to D plus 3 SHAEF Documentary,1944,[99]
1364636.jpg,Las aventuras de Frijolito y Robustiana,1944,[35]
770.jpg,Gone with the Wind,1939,"[18, 10752, 10749]"
630.jpg,The Wizard of Oz,1939,"[12, 14, 10751]"
3083.jpg,Mr. Smith Goes to Washington,1939,"[35, 18]"
31685.jpg,The Hunchback of Notre Dame,1939,"[18, 10749, 27]"
24965.jpg,Gunga Din,1939,"[12, 10752, 28, 35]"
1859.jpg,Ninotchka,1939,"[35, 10749]"
22490.jpg,The Women,1939,"[35, 18]"
14589.jpg,Another Thin Man,1939,"[35, 9648, 80]"
36488.jpg,Bachelor Mother,1939,"[35, 10749]"
18651.jpg,The Story of Vernon and Irene Castle,1939,"[10402, 10749]"
995.jpg,Stagecoach,1939,"[37, 12]"
309625.jpg,Winter Carnival,1939,"[10749, 35, 18]"
776.jpg,The Rules of the Game,1939,"[18, 35, 10749]"
351828.jpg,Melodin från Gamla Stan,1939,[35]
1511845.jpg,Sitara,1939,[]
1506154.jpg,The price of happiness,1939,[]
1504385.jpg,Brazil: 2nd Part,1939,[99]
1504381.jpg,Brazil: 1st Part,1939,[]
1495219.jpg,Varanda dos Rouxinóis,1939,[35]
1493753.jpg,Pid Thong Lang Phra (Fragments),1939,[18]
1470526.jpg,Une Vieille légende des Alpes vaudoises. Les Diablerets,1939,[]
1469964.jpg,Frau Mode spielt auf,1939,[]
1469960.jpg,Chromophony,1939,[]
1464761.jpg,The Golden Gang,1939,[]
1456679.jpg,A Day in Artek,1939,[99]
1456502.jpg,Mountain Torrent,1939,[18]
1456162.jpg,Mountainous March,1939,"[18, 36]"
1456098.jpg,The Air Mail,1939,[12]
1431219.jpg,宁武关,1939,[]
1430098.jpg,"Cruise of U.S.S ""Chelan""",1939,[]
1413145.jpg,Homeland,1939,[18]
1406191.jpg,From Jerusalem to Tel Aviv,1939,[99]
1395346.jpg,In the Depths of the Sea,1939,[99]
1393655.jpg,The World Parade: Bali - Paradise Isle,1939,[99]
1386619.jpg,Janak Nandini,1939,[18]
1386613.jpg,Nara Narayana,1939,[18]
1382814.jpg,Zuleikha loves Ashour,1939,"[35, 18]"
1376811.jpg,Parashmoni,1939,[18]
240417.jpg,Seeds of Destiny,1946,"[99, 10752]"
13850.jpg,Song of the South,1946,"[10751, 16]"
303.jpg,Notorious,1946,"[53, 10749, 9648]"
887.jpg,The Best Years of Our Lives,1946,"[18, 10749, 10752]"
32275.jpg,Duel in the Sun,1946,"[37, 18, 10749]"
910.jpg,The Big Sleep,1946,"[9648, 80, 53]"
1585.jpg,It's a Wonderful Life,1946,"[18, 10751, 14]"
18700.jpg,Till the Clouds Roll By,1946,[10402]
3767.jpg,Gilda,1946,"[10749, 18, 53]"
25736.jpg,The Postman Always Rings Twice,1946,"[18, 10749, 80, 53]"
44098.jpg,Undercurrent,1946,"[18, 53]"
61856.jpg,Courage of Lassie,1946,"[10751, 12, 18]"
44100.jpg,Tomorrow Is Forever,1946,"[18, 10749]"
27033.jpg,The Strange Love of Martha Ivers,1946,"[18, 53]"
20246.jpg,The Stranger,1946,"[53, 80]"
26286.jpg,Dragonwyck,1946,"[18, 10749, 53]"
32945.jpg,The Strange Woman,1946,"[18, 53, 36]"
27452.jpg,The Spiral Staircase,1946,"[9648, 53, 27]"
16090.jpg,The Blue Dahlia,1946,"[80, 9648]"
3088.jpg,My Darling Clementine,1946,"[37, 18, 10749]"
263013.jpg,The Secret Heart,1946,[18]
1841.jpg,Lady in the Lake,1946,"[9648, 53, 80]"
43483.jpg,Love Laughs at Andy Hardy,1946,"[35, 10749]"
25502.jpg,Deception,1946,"[18, 10749, 10402]"
44042.jpg,Shadow of a Woman,1946,[18]
72346.jpg,Anmol Ghadi,1946,"[18, 10402, 10749]"
43469.jpg,Shoeshine,1946,[18]
1511812.jpg,Moorti,1946,[]
1511318.jpg,Mazdoor,1946,[]
1511307.jpg,Omar Khayyam,1946,[]
1511287.jpg,Chand Chakori,1946,[]
1511274.jpg,Shalimar,1946,[]
1509155.jpg,The white angel,1946,[]
1508102.jpg,بنت الشرق,1946,[]
1507264.jpg,إكسبريس الحب,1946,[]
1506939.jpg,Man of the future,1946,[]
1506148.jpg,Storms,1946,[]
1489679.jpg,Unusual Occupations,1946,[99]
1482213.jpg,Glory and tears,1946,"[18, 10402]"
1480872.jpg,Woman’s enemy,1946,"[18, 10402]"
1480570.jpg,A burning candle,1946,[]
1477532.jpg,Occupied Territory,1946,[10752]
1472931.jpg,Fala at Hyde Park,1946,[]
1463513.jpg,Disorientation Crashes,1946,[]
1463137.jpg,Taxiing Collisions,1946,[]
1462256.jpg,Biraghin,1946,[18]
1455261.jpg,Zygmunt Kolosovsky,1946,"[10752, 18]"
1446331.jpg,Un regard sur la Hollande,1946,[99]
1417107.jpg,Kelvin: Master of Measurement,1946,"[18, 36]"
29993.jpg,Samson and Delilah,1949,"[12, 10749, 18]"
25431.jpg,Adam's Rib,1949,"[35, 18, 10749]"
13909.jpg,She Wore a Yellow Ribbon,1949,"[18, 37]"
31516.jpg,On the Town,1949,"[10402, 35, 10749]"
29885.jpg,The Barkleys of Broadway,1949,"[35, 10749]"
15794.jpg,White Heat,1949,"[80, 18, 53]"
15497.jpg,Twelve O'Clock High,1949,"[10752, 28, 18]"
121074.jpg,Any Number Can Play,1949,[18]
27563.jpg,Flamingo Road,1949,"[18, 10749]"
56131.jpg,The Beautiful Blonde from Bashful Bend,1949,"[35, 37, 10749]"
32552.jpg,It's a Great Feeling,1949,"[35, 10402]"
25918.jpg,Champion,1949,[18]
28571.jpg,The Heiress,1949,"[18, 10749, 36]"
131488.jpg,The Sun Comes Up,1949,"[28, 10751, 18, 12]"
45184.jpg,Madame Bovary,1949,"[18, 10749]"
39314.jpg,Mighty Joe Young,1949,"[12, 14, 18, 28]"
88288.jpg,It Happens Every Spring,1949,[35]
35896.jpg,Beyond the Forest,1949,"[18, 53]"
286499.jpg,Bride for Sale,1949,[35]
164073.jpg,Down to the Sea in Ships,1949,"[18, 12, 28]"
20278.jpg,Africa Screams,1949,"[35, 12]"
4175.jpg,Under Capricorn,1949,"[18, 36]"
1092.jpg,The Third Man,1949,"[53, 9648]"
43398.jpg,Challenge to Lassie,1949,"[28, 10751, 12, 18]"
32850.jpg,Act of Violence,1949,[53]
209937.jpg,Big Jack,1949,"[12, 37]"
30368.jpg,Stray Dog,1949,"[80, 18, 53, 9648]"
46096.jpg,The Small Back Room,1949,"[18, 10752, 10749]"
1506664.jpg,Midnight,1949,[]
1504216.jpg,Shooting Star,1949,[]
1489688.jpg,Once Upon a Time – A Modern Fairy Tale,1949,[]
1481818.jpg,The Desert,1949,[99]
1481061.jpg,Glasgow Today and Tomorrow,1949,[]
1478867.jpg,表,1949,[]
1478616.jpg,Congratulations to you,1949,[]
1467643.jpg,Torna a Napoli,1949,[18]
1463710.jpg,Comet,1949,[]
1463130.jpg,Collisions Ocurring during Simulated Combat,1949,[]
1460317.jpg,I contrabbandieri del mare,1949,"[53, 80]"
1450561.jpg,Monument To Great Boer Trek,1949,[99]
1433134.jpg,Ferry Flirt,1949,[]
1426701.jpg,USSR Air Fleet Day,1949,[99]
1421960.jpg,Pilote de guerre… pilote de ligne,1949,"[99, 10752]"
1421011.jpg,The Honest Woodsman,1949,[16]
1417772.jpg,夜来风雨声,1949,[18]
1398855.jpg,Noche de Reyes,1949,[]
1396882.jpg,Paz,1949,[18]
27854.jpg,For Whom the Bell Tolls,1943,"[10752, 10749, 36, 18, 12]"
289.jpg,Casablanca,1943,"[18, 10749]"
43306.jpg,A Guy Named Joe,1943,"[18, 10749, 10752, 14]"
22613.jpg,The Outlaw,1943,"[37, 18]"
22871.jpg,Destination Tokyo,1943,[10752]
2202.jpg,Lassie Come Home,1943,"[10751, 12, 18]"
48993.jpg,The Human Comedy,1943,"[18, 10751]"
55238.jpg,Edge of Darkness,1943,"[18, 10752]"
43514.jpg,Thank Your Lucky Stars,1943,"[35, 10402]"
22744.jpg,Jane Eyre,1943,"[18, 10749]"
23051.jpg,Action in the North Atlantic,1943,[10752]
98493.jpg,Hitler's Children,1943,"[10749, 10752]"
69204.jpg,Coney Island,1943,"[35, 10402]"
42886.jpg,Best Foot Forward,1943,"[35, 10402]"
18783.jpg,Sahara,1943,"[12, 10752]"
43515.jpg,The Sky's the Limit,1943,"[35, 10749, 10402]"
59964.jpg,Cabin in the Sky,1943,"[10402, 14]"
43513.jpg,Stormy Weather,1943,[10402]
60216.jpg,Five Graves to Cairo,1943,"[10752, 53, 18]"
32858.jpg,The Return of the Vampire,1943,[27]
22779.jpg,Victory Through Air Power,1943,"[16, 10752, 99]"
1510509.jpg,Ishara,1943,[18]
1510218.jpg,Ghar Sansar,1943,[18]
1507090.jpg,Fashion,1943,[]
1486981.jpg,Mauna Loa Volcano,1943,[99]
1484595.jpg,There's Something About a Soldier,1943,[16]
1468910.jpg,Human Rugby Bullets,1943,"[16, 10752]"
1464186.jpg,Price Shock,1943,[16]
1461202.jpg,The String,1943,[16]
1456842.jpg,Get Your Vitamins,1943,[16]
1455343.jpg,Fantasia Brasileira - Concerto para Piano e Orquestra,1943,"[10402, 99]"
1452278.jpg,A Wee Thing,1943,[16]
1452271.jpg,Workers at War No. 6,1943,[16]
1450982.jpg,Incontri di notte,1943,[35]
1433384.jpg,Filmmakers at Volunteer Work,1943,[99]
1431404.jpg,A Gift From the Motherland,1943,"[10770, 10402]"
1426712.jpg,Ural Forges Victory,1943,"[99, 36]"
1415376.jpg,"Buongiorno, Madrid!",1943,[35]
1398902.jpg,ის კიდევ დაბრუნდება,1943,"[36, 18]"
1396556.jpg,The Crow Indians on the Jesus Trail,1943,[99]
10340.jpg,Lady and the Tramp,1955,"[10751, 16, 10749]"
10653.jpg,The Seven Year Itch,1955,"[35, 10749]"
39940.jpg,Picnic,1955,"[18, 10749]"
381.jpg,To Catch a Thief,1955,"[9648, 10749, 53]"
11219.jpg,The Trouble with Harry,1955,"[35, 9648]"
4825.jpg,Guys and Dolls,1955,"[35, 80, 10749]"
40578.jpg,The Sea Chase,1955,"[10752, 28, 18]"
37317.jpg,The Tall Men,1955,"[37, 12, 10749]"
221.jpg,Rebel Without a Cause,1955,[18]
541.jpg,The Man with the Golden Arm,1955,"[18, 80]"
63618.jpg,The Left Hand of God,1955,"[18, 12]"
43317.jpg,Artists and Models,1955,[35]
14554.jpg,Bad Day at Black Rock,1955,"[53, 9648, 37, 80, 18]"
118910.jpg,The Court-Martial of Billy Mitchell,1955,"[18, 10752]"
15919.jpg,Marty,1955,"[18, 10749]"
5996.jpg,We're No Angels,1955,"[35, 80]"
18612.jpg,The Desperate Hours,1955,"[80, 53]"
17640.jpg,It's Always Fair Weather,1955,"[10402, 35, 10749]"
29377.jpg,Blood Alley,1955,"[12, 28, 18]"
50363.jpg,Summertime,1955,"[18, 10749]"
1679.jpg,Godzilla Raids Again,1955,"[878, 27, 28]"
60966.jpg,My Sister Eileen,1955,"[10402, 35, 10749]"
20942.jpg,House of Bamboo,1955,"[80, 18]"
831.jpg,This Island Earth,1955,"[878, 12, 27]"
130461.jpg,Captain Lightfoot,1955,"[12, 10749, 36]"
40761.jpg,Revenge of the Creature,1955,"[27, 878]"
25952.jpg,Conquest of Space,1955,[878]
18030.jpg,Kiss Me Deadly,1955,"[9648, 53, 80]"
5801.jpg,Pather Panchali,1955,[18]
934.jpg,Rififi,1955,"[80, 53, 18]"
921828.jpg,Bataktaki Kız,1955,[18]
921820.jpg,A Love Story,1955,"[18, 10749]"
999702.jpg,Amleto,1955,[18]
326993.jpg,It Happens in Roma,1955,[35]
191428.jpg,Lily Boy,1955,"[10402, 35]"
1511433.jpg,The Mysterious Bullet,1955,[]
1502018.jpg,"Monika, the Story of a Bad Girl!",1955,[10749]
1495097.jpg,Fingerman,1955,"[18, 53, 80]"
1490799.jpg,"Gammal bygd i ny tid, Näsby-Frövi",1955,[99]
1488791.jpg,Maboroshi Kaito Dan,1955,"[9648, 80, 28, 12]"
1488665.jpg,Onbu Obake,1955,[]
1487003.jpg,Moby Dick Rehearsed,1955,[]
1481865.jpg,Be-ta-ta-kin,1955,[99]
1480606.jpg,Tears at night,1955,[]
1478275.jpg,Castle in the Sand,1955,[]
1470996.jpg,黄河大合唱,1955,[]
1467866.jpg,Quest for the Lost City,1955,[]
1467852.jpg,Where Strangers Meet,1955,[99]
1461711.jpg,Çoban Ali,1955,[18]
1457348.jpg,Sharp Blades,1955,[]
1448336.jpg,The Witch of Neptune,1955,"[28, 12, 14, 878]"
1443559.jpg,The Misguided Child,1955,[]
1442791.jpg,Fifth Avenue to Fujiyama,1955,[]
1439230.jpg,むっつり右門捕物帖 鬼面屋敷,1955,[]
12092.jpg,Alice in Wonderland,1951,"[16, 10751, 14, 12]"
11620.jpg,Quo Vadis,1951,"[18, 36, 10749]"
17820.jpg,Show Boat,1951,"[10402, 10749, 18]"
702.jpg,A Streetcar Named Desire,1951,"[18, 53]"
25673.jpg,A Place in the Sun,1951,"[18, 10749, 80]"
845.jpg,Strangers on a Train,1951,"[80, 53]"
2769.jpg,An American in Paris,1951,"[10402, 10749, 35]"
18646.jpg,Royal Wedding,1951,"[10402, 35, 10749]"
114081.jpg,The Blue Veil,1951,[18]
26712.jpg,The Enforcer,1951,"[18, 53]"
